ndims,nitn,nitn_pre,neval,result_mean,result_sdev,total_time,prec_time,sum_neval,run_num
2,5,0,100000,0.9999715359156574,5.241013095801677e-05,4.964727163314819,0.0,486358.0,1
2,5,0,1000000,0.9999998870605878,5.1684335180999975e-06,49.58543848991394,0.0,4870800.0,1
2,5,1,100000,1.0000081626099946,5.170941327668973e-05,4.957745552062988,1.0142879486083984,386974.0,1
2,5,1,1000000,0.9999963191080535,5.182069500861453e-06,49.59541153907776,10.148868322372437,3871460.0,1
2,5,2,100000,1.0000435679578092,5.1833478690168846e-05,4.954753875732422,2.0265820026397705,288108.0,1
2,5,2,1000000,1.0000073228280433,5.308636933101299e-06,49.9632511138916,20.424185514450073,2882469.0,1
4,5,0,100000,1.0005711721583588,0.001000509230441147,5.0789759159088135,0.0,486014.0,1
4,5,0,1000000,0.9998743352379048,0.0001554788466736294,50.88070559501648,0.0,4897962.0,1
4,5,1,100000,0.9983981937285499,0.000985953432807193,5.014672040939331,1.0053308010101318,389161.0,1
4,5,1,1000000,1.000250260179543,0.0001564851789670408,50.883633613586426,10.242749691009521,3910361.0,1
4,5,2,100000,0.9999313615756337,0.0010296198978915828,5.042565107345581,2.0305984020233154,290221.0,1
4,5,2,1000000,0.9998308047968932,0.00015811961767407147,50.801509141922,20.606281995773315,2915518.0,1
6,5,0,100000,1.000444283540226,0.0039001265419091563,5.108343124389648,0.0,495045.0,1
6,5,0,1000000,0.999476025195453,0.000706190031087303,49.71908092498779,0.0,4830068.0,1
6,5,1,100000,1.0018009331567008,0.004257770135547345,5.111335277557373,1.031242847442627,395097.0,1
6,5,1,1000000,0.9993768587469714,0.0007143627447619937,49.639294385910034,9.67014765739441,3889072.0,1
6,5,2,100000,0.9939937702669731,0.004053004994296958,5.118316650390625,2.0664756298065186,295180.0,1
6,5,2,1000000,1.0000572088593405,0.0007246341056359258,50.02825450897217,19.90279197692871,2904673.0,1
8,5,0,100000,0.9730314723651572,0.009877107550071228,5.02855658531189,0.0,483140.0,1
8,5,0,1000000,0.9977566304500215,0.002346713862863888,49.32513403892517,0.0,4711322.0,1
8,5,1,100000,0.9887655260556758,0.010091712828168667,5.0415215492248535,0.9704053401947021,389982.0,1
8,5,1,1000000,1.0014475895566424,0.0022699217695985575,48.95512342453003,9.607316017150879,3787799.0,1
8,5,2,100000,0.9858980496969396,0.011244115680921377,5.054487228393555,1.9986567497253418,291793.0,1
8,5,2,1000000,0.9979223098647069,0.00233305005065705,49.14062714576721,19.638498306274414,2834829.0,1
2,5,0,100000,0.9999866354936242,5.015402591707289e-05,4.942785739898682,0.0,486407.0,2
2,5,0,1000000,1.0000060451907682,5.135450815264789e-06,49.48778557777405,0.0,4871052.0,2
2,5,1,100000,1.0000220922134533,5.0592107309545e-05,4.995404481887817,1.014345407485962,386899.0,2
2,5,1,1000000,1.0000046369758933,5.172855832327145e-06,50.50708270072937,10.357940196990967,3871055.0,2
2,5,2,100000,1.0000040033799908,5.161030404130609e-05,5.045482635498047,2.035479784011841,288156.0,2
2,5,2,1000000,0.9999880918809654,5.3294736828978765e-06,49.85515761375427,20.42797565460205,2882465.0,2
4,5,0,100000,1.0008657284561657,0.000991915335818876,4.992709398269653,0.0,485887.0,2
4,5,0,1000000,1.0001319818618724,0.000156195605960996,49.94675087928772,0.0,4898181.0,2
4,5,1,100000,0.9996396198223625,0.0009998576240714343,4.973703384399414,0.9873604774475098,389166.0,2
4,5,1,1000000,1.0001013952827995,0.0001545842366168624,50.09208369255066,10.14388108253479,3910122.0,2
4,5,2,100000,1.0002504236818086,0.0009929238553309254,5.027559280395508,2.031569480895996,290190.0,2
4,5,2,1000000,0.999990586166916,0.00015816978498161681,50.56282567977905,20.477256059646606,2915703.0,2
6,5,0,100000,0.9990956908571936,0.0040574311362100626,5.157212495803833,0.0,494956.0,2
6,5,0,1000000,0.9991703256689481,0.0007116547400112564,50.032243967056274,0.0,4829027.0,2
6,5,1,100000,0.9880378434456911,0.003922951842435264,5.1143269538879395,1.0412161350250244,394796.0,2
6,5,1,1000000,0.9999515813121905,0.0007237246000764884,49.95046257972717,9.741956233978271,3888766.0,2
6,5,2,100000,1.0036516924767138,0.004134844670618751,5.171175003051758,2.094400644302368,294970.0,2
6,5,2,1000000,0.9996380697944247,0.0006981434552522343,49.93151307106018,20.08131456375122,2902500.0,2
8,5,0,100000,0.9988112419751484,0.010054901466796197,5.040524482727051,0.0,483271.0,2
8,5,0,1000000,0.9964409669964929,0.0022717870801217776,49.20744872093201,0.0,4712667.0,2
8,5,1,100000,0.9839989781486511,0.00989114653222134,5.040524244308472,0.9763894081115723,389915.0,2
8,5,1,1000000,0.9990429549366627,0.0022809822252760174,49.230387687683105,9.610307931900024,3787899.0,2
8,5,2,100000,1.0042204860342299,0.01103997025201542,5.049500226974487,2.0006511211395264,291891.0,2
8,5,2,1000000,0.9985892212135988,0.002384327066280513,49.321144580841064,19.646477460861206,2833731.0,2
