func,ndims,nitn,neval,nhcube_batch,result_mean,result_sdev,total_time,avg_neval,chi2,Q
F3,2,5,200000,100,-2.0020005467331385,0.0009374706923030161,0.39035587310791015,199712.0,2.6160432498902084,0.6436282975256974
F3,2,5,200000,1000,-2.0012086384840884,0.000936891219981085,0.199666166305542,199712.0,3.0929039523005484,0.5582038672419568
F3,2,5,200000,10000,-2.0006864995242717,0.000936667637932784,0.17971949577331542,199712.0,8.291289209760725,0.2648181427891051
F3,2,5,200000,100000,-2.000776506094269,0.0009370489268334802,0.18969264030456542,199712.0,2.6476394502446055,0.6526315505165102
F3,4,5,200000,100,10.96878602039253,2.254207823352611,0.4783207893371582,198288.0,5.323631819629577,0.35504218855616854
F3,4,5,200000,1000,11.919417055084356,2.254707344741535,0.2864339828491211,198288.0,5.553596229789271,0.3322014779083235
F3,4,5,200000,10000,11.150118766596043,2.2549219943276926,0.2648915767669678,198288.0,4.682471155720407,0.3724767650301515
F3,4,5,200000,100000,11.73590690996294,2.2539715812726895,0.2794529914855957,198288.0,4.221120260937104,0.40196745555077246
F3,6,5,200000,100,163.0593531195769,630.8411997671853,0.5044508457183838,172872.0,3.0535617527358867,0.5683064981189447
F3,6,5,200000,1000,-430.9713477558288,631.0688404823052,0.3323113441467285,172872.0,2.88828084489764,0.5982235327970076
F3,6,5,200000,10000,-170.32425059732253,630.9623001544179,0.3137608528137207,172872.0,4.832716781780017,0.4147064960738221
F3,6,5,200000,100000,-375.98266657782096,630.636710697427,0.33271069526672364,172872.0,4.790914857831831,0.4359119256939894
F3,8,5,200000,100,23961.795300186077,77567.92220274486,0.549330759048462,163840.0,4.591568139587006,0.4408663695874629
F3,8,5,200000,1000,64920.07742338951,77551.41792366629,0.3833747386932373,163840.0,3.920337358068015,0.4257296049905703
F3,8,5,200000,10000,5513.293074739549,77540.22807001529,0.3785877227783203,163840.0,2.663739582659365,0.6258023866142426
F3,8,5,200000,100000,-43890.970182358906,77546.54797528917,0.3899573802947998,163840.0,4.449544085954881,0.4652783362157592
