func,ndims,nitn,nitn_pre,neval,max_nhcube,beta,result_mean,result_sdev,total_time,prec_time,avg_neval,chi2,Q
F3,2,10,5,200000,1,0.0,-1.984904492087144,0.07063695034990522,0.3377062797546387,0.16436057090759276,200000.0,4.082773201581108,0.5221997233524599
F3,2,10,5,200000,101,0.0,-2.000826139671754,0.0009655066984590977,0.7767227172851563,0.3887603759765625,199712.0,3.716411213204265,0.4915945210130953
F3,2,10,5,200000,102,0.5,-2.001678857965277,0.0018581102446600033,0.4047177791595459,0.20265836715698243,187449.6,5.479597750958055,0.4290129693670197
F3,2,10,5,200000,103,1.0,-2.000983271268966,0.0018595486584822019,0.4059142112731934,0.20386095046997071,187516.6,7.120094504626468,0.32721370585814424
F3,4,10,5,200000,1,0.0,14.380601722634026,7.072551798458591,0.47114009857177735,0.22858881950378418,200000.0,2.2574042120264117,0.7217817628032599
F3,4,10,5,200000,101,0.0,13.011173429168451,2.2538437236041466,0.9570405006408691,0.47931795120239257,198288.0,2.0625458166399704,0.7233028462777942
F3,4,10,5,200000,102,0.5,12.529316586363358,3.128612431278,0.5317781448364258,0.26688623428344727,186489.2,4.227337495999938,0.4858165197777013
F3,4,10,5,200000,103,1.0,14.23750879252724,3.1916436925906697,0.5321766376495362,0.267484712600708,186604.2,1.9176672910340453,0.7555805110470499
F3,6,10,5,200000,1,0.0,-56.74482144301745,707.1899324041381,0.6277212142944336,0.3039870738983154,200000.0,3.13057066156532,0.5657117822319412
F3,6,10,5,200000,101,0.0,304.07327728670487,630.5415915578284,1.0091015338897704,0.5050495147705079,172872.0,4.018231306555565,0.4715589898453447
F3,6,10,5,200000,102,0.5,-103.79838981735861,680.891344178624,0.6472690105438232,0.32373409271240233,183721.0,2.613685025177142,0.6362726601698371
F3,6,10,5,200000,103,1.0,-370.7645446121201,694.0196200419784,0.6472689151763916,0.3233353614807129,183760.4,3.893750746679104,0.45284832867019925
F3,8,10,5,200000,1,0.0,3581.1224414168437,70717.58136875308,0.793278694152832,0.3863668918609619,200000.0,2.4233815211647123,0.6636803806992011
F3,8,10,5,200000,101,0.0,18565.530096574737,77509.84662099482,1.0940741062164308,0.5479346752166748,163840.0,4.088563110244888,0.4235344147441422
F3,8,10,5,200000,102,0.5,21480.09234875771,74494.00127930599,0.7424147605895997,0.3724041938781738,180968.6,3.7517510838665045,0.5238197077581821
F3,8,10,5,200000,103,1.0,-2720.907713285039,75121.45552975185,0.743611192703247,0.3724039554595947,181099.8,1.6245137035703159,0.7956469253231615
